depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,12,"32,18","20,63","-0,747186147",2026-05-05 12:00:00,48,048_0.0
"-0,5","12,5","32,18","20,63","-0,703896104",2026-05-05 12:00:00,48,048_0.5
-1,13,"32,18","20,63","-0,660606061",2026-05-05 12:00:00,48,048_1.0
"-1,5",30,"32,18","20,63","0,811255411",2026-05-05 12:00:00,48,048_1.5
-2,33,"32,18","20,63","1,070995671",2026-05-05 12:00:00,48,048_2.0
"-2,5",34,"32,18","20,63","1,157575758",2026-05-05 12:00:00,48,048_2.5
-3,35,"32,18","20,63","1,244155844",2026-05-05 12:00:00,48,048_3.0
"-3,5",35,"32,18","20,63","1,244155844",2026-05-05 12:00:00,48,048_3.5
-4,"34,5","32,18","20,63","1,200865801",2026-05-05 12:00:00,48,048_4.0
"-4,5",34,"32,18","20,63","1,157575758",2026-05-05 12:00:00,48,048_4.5
-5,"33,5","32,18","20,63","1,114285714",2026-05-05 12:00:00,48,048_5.0
"-5,5",33,"32,18","20,63","1,070995671",2026-05-05 12:00:00,48,048_5.5
-6,"33,5","32,18","20,63","1,114285714",2026-05-05 12:00:00,48,048_6.0
"-6,5",34,"32,18","20,63","1,157575758",2026-05-05 12:00:00,48,048_6.5
-7,35,"32,18","20,63","1,244155844",2026-05-05 12:00:00,48,048_7.0
"-7,5",36,"32,18","20,63","1,330735931",2026-05-05 12:00:00,48,048_7.5
-8,36,"32,18","20,63","1,330735931",2026-05-05 12:00:00,48,048_8.0
"-8,5","35,5","32,18","20,63","1,287445887",2026-05-05 12:00:00,48,048_8.5
-9,35,"32,18","20,63","1,244155844",2026-05-05 12:00:00,48,048_9.0
"-9,5","34,5","32,18","20,63","1,200865801",2026-05-05 12:00:00,48,048_9.5
-10,34,"32,18","20,63","1,157575758",2026-05-05 12:00:00,48,048_10.0
"-10,5","33,5","32,18","20,63","1,114285714",2026-05-05 12:00:00,48,048_10.5
-11,33,"32,18","20,63","1,070995671",2026-05-05 12:00:00,48,048_11.0
"-11,5",32,"32,18","20,63","0,984415584",2026-05-05 12:00:00,48,048_11.5
-12,30,"32,18","20,63","0,811255411",2026-05-05 12:00:00,48,048_12.0
"-12,5",28,"32,18","20,63","0,638095238",2026-05-05 12:00:00,48,048_12.5
-13,26,"32,18","20,63","0,464935065",2026-05-05 12:00:00,48,048_13.0
"-13,5",25,"32,18","20,63","0,378354978",2026-05-05 12:00:00,48,048_13.5
-14,24,"32,18","20,63","0,291774892",2026-05-05 12:00:00,48,048_14.0
"-14,5",23,"32,18","20,63","0,205194805",2026-05-05 12:00:00,48,048_14.5
-15,"22,5","32,18","20,63","0,161904762",2026-05-05 12:00:00,48,048_15.0
"-15,5","22,3","32,18","20,63","0,144588745",2026-05-05 12:00:00,48,048_15.5
-16,"22,2","32,18","20,63","0,135930736",2026-05-05 12:00:00,48,048_16.0
"-16,5","22,1","32,18","20,63","0,127272727",2026-05-05 12:00:00,48,048_16.5
-17,22,"32,18","20,63","0,118614719",2026-05-05 12:00:00,48,048_17.0
"-17,5","21,9","32,18","20,63","0,10995671",2026-05-05 12:00:00,48,048_17.5
-18,"21,8","32,18","20,63","0,101298701",2026-05-05 12:00:00,48,048_18.0
"-18,5","21,7","32,18","20,63","0,092640693",2026-05-05 12:00:00,48,048_18.5
-19,"21,6","32,18","20,63","0,083982684",2026-05-05 12:00:00,48,048_19.0
"-19,5","21,5","32,18","20,63","0,075324675",2026-05-05 12:00:00,48,048_19.5
-20,"21,4","32,18","20,63","0,066666667",2026-05-05 12:00:00,48,048_20.0
"-20,5","21,3","32,18","20,63","0,058008658",2026-05-05 12:00:00,48,048_20.5
-21,"21,2","32,18","20,63","0,049350649",2026-05-05 12:00:00,48,048_21.0
"-21,5","21,1","32,18","20,63","0,040692641",2026-05-05 12:00:00,48,048_21.5
-22,21,"32,18","20,63","0,032034632",2026-05-05 12:00:00,48,048_22.0
"-22,5","20,9","32,18","20,63","0,023376623",2026-05-05 12:00:00,48,048_22.5
-23,"20,8","32,18","20,63","0,014718615",2026-05-05 12:00:00,48,048_23.0
"-23,5","20,7","32,18","20,63","0,006060606",2026-05-05 12:00:00,48,048_23.5
-24,"20,6","32,18","20,63","-0,002597403",2026-05-05 12:00:00,48,048_24.0
"-24,5","20,5","32,18","20,63","-0,011255411",2026-05-05 12:00:00,48,048_24.5
-25,"20,5","32,18","20,63","-0,011255411",2026-05-05 12:00:00,48,048_25.0
