depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,18,"26,07","17,61","0,046099291",2026-05-05 12:00:00,24,024_0.0
"-0,5","18,2","26,07","17,61","0,069739953",2026-05-05 12:00:00,24,024_0.5
-1,"18,5","26,07","17,61","0,105200946",2026-05-05 12:00:00,24,024_1.0
"-1,5",23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,24,024_1.5
-2,27,"26,07","17,61","1,109929078",2026-05-05 12:00:00,24,024_2.0
"-2,5",29,"26,07","17,61","1,346335697",2026-05-05 12:00:00,24,024_2.5
-3,30,"26,07","17,61","1,464539007",2026-05-05 12:00:00,24,024_3.0
"-3,5","29,5","26,07","17,61","1,405437352",2026-05-05 12:00:00,24,024_3.5
-4,"28,5","26,07","17,61","1,287234043",2026-05-05 12:00:00,24,024_4.0
"-4,5","27,5","26,07","17,61","1,169030733",2026-05-05 12:00:00,24,024_4.5
-5,"26,5","26,07","17,61","1,050827423",2026-05-05 12:00:00,24,024_5.0
"-5,5","25,5","26,07","17,61","0,932624113",2026-05-05 12:00:00,24,024_5.5
-6,"24,5","26,07","17,61","0,814420804",2026-05-05 12:00:00,24,024_6.0
"-6,5","23,5","26,07","17,61","0,696217494",2026-05-05 12:00:00,24,024_6.5
-7,23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,24,024_7.0
"-7,5","22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_7.5
-8,"22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_8.0
"-8,5","22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_8.5
-9,"22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_9.0
"-9,5","22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_9.5
-10,"22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,24,024_10.0
"-10,5",23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,24,024_10.5
-11,"23,5","26,07","17,61","0,696217494",2026-05-05 12:00:00,24,024_11.0
"-11,5","24,5","26,07","17,61","0,814420804",2026-05-05 12:00:00,24,024_11.5
-12,26,"26,07","17,61","0,991725768",2026-05-05 12:00:00,24,024_12.0
"-12,5","27,5","26,07","17,61","1,169030733",2026-05-05 12:00:00,24,024_12.5
-13,29,"26,07","17,61","1,346335697",2026-05-05 12:00:00,24,024_13.0
"-13,5",30,"26,07","17,61","1,464539007",2026-05-05 12:00:00,24,024_13.5
-14,30,"26,07","17,61","1,464539007",2026-05-05 12:00:00,24,024_14.0
"-14,5","29,5","26,07","17,61","1,405437352",2026-05-05 12:00:00,24,024_14.5
-15,29,"26,07","17,61","1,346335697",2026-05-05 12:00:00,24,024_15.0
"-15,5","28,5","26,07","17,61","1,287234043",2026-05-05 12:00:00,24,024_15.5
-16,28,"26,07","17,61","1,228132388",2026-05-05 12:00:00,24,024_16.0
"-16,5",27,"26,07","17,61","1,109929078",2026-05-05 12:00:00,24,024_16.5
-17,25,"26,07","17,61","0,873522459",2026-05-05 12:00:00,24,024_17.0
"-17,5",23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,24,024_17.5
-18,22,"26,07","17,61","0,51891253",2026-05-05 12:00:00,24,024_18.0
"-18,5",21,"26,07","17,61","0,40070922",2026-05-05 12:00:00,24,024_18.5
-19,20,"26,07","17,61","0,28250591",2026-05-05 12:00:00,24,024_19.0
"-19,5",19,"26,07","17,61","0,1643026",2026-05-05 12:00:00,24,024_19.5
-20,"18,5","26,07","17,61","0,105200946",2026-05-05 12:00:00,24,024_20.0
"-20,5",18,"26,07","17,61","0,046099291",2026-05-05 12:00:00,24,024_20.5
-21,"17,8","26,07","17,61","0,022458629",2026-05-05 12:00:00,24,024_21.0
"-21,5","17,6","26,07","17,61","-0,001182033",2026-05-05 12:00:00,24,024_21.5
-22,"17,5","26,07","17,61","-0,013002364",2026-05-05 12:00:00,24,024_22.0
"-22,5","17,4","26,07","17,61","-0,024822695",2026-05-05 12:00:00,24,024_22.5
-23,"17,4","26,07","17,61","-0,024822695",2026-05-05 12:00:00,24,024_23.0
"-23,5","17,4","26,07","17,61","-0,024822695",2026-05-05 12:00:00,24,024_23.5
-24,"17,4","26,07","17,61","-0,024822695",2026-05-05 12:00:00,24,024_24.0
"-24,5","17,4","26,07","17,61","-0,024822695",2026-05-05 12:00:00,24,024_24.5
-25,"15,77","26,07","17,61","-0,21749409",2026-05-05 12:00:00,24,024_25.0
