depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,17,"26,06","17,44","-0,051044084",2026-05-05 12:00:00,8,008_0.0
"-0,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_0.5
-1,"17,5","26,06","17,44","0,006960557",2026-05-05 12:00:00,8,008_1.0
"-1,5","20,5","26,06","17,44","0,354988399",2026-05-05 12:00:00,8,008_1.5
-2,"24,5","26,06","17,44","0,819025522",2026-05-05 12:00:00,8,008_2.0
"-2,5",27,"26,06","17,44","1,109048724",2026-05-05 12:00:00,8,008_2.5
-3,"28,5","26,06","17,44","1,283062645",2026-05-05 12:00:00,8,008_3.0
"-3,5","29,5","26,06","17,44","1,399071926",2026-05-05 12:00:00,8,008_3.5
-4,30,"26,06","17,44","1,457076566",2026-05-05 12:00:00,8,008_4.0
"-4,5","29,5","26,06","17,44","1,399071926",2026-05-05 12:00:00,8,008_4.5
-5,29,"26,06","17,44","1,341067285",2026-05-05 12:00:00,8,008_5.0
"-5,5","28,5","26,06","17,44","1,283062645",2026-05-05 12:00:00,8,008_5.5
-6,"27,5","26,06","17,44","1,167053364",2026-05-05 12:00:00,8,008_6.0
"-6,5","26,5","26,06","17,44","1,051044084",2026-05-05 12:00:00,8,008_6.5
-7,25,"26,06","17,44","0,877030162",2026-05-05 12:00:00,8,008_7.0
"-7,5",24,"26,06","17,44","0,761020882",2026-05-05 12:00:00,8,008_7.5
-8,23,"26,06","17,44","0,645011601",2026-05-05 12:00:00,8,008_8.0
"-8,5","22,5","26,06","17,44","0,587006961",2026-05-05 12:00:00,8,008_8.5
-9,"23,5","26,06","17,44","0,703016241",2026-05-05 12:00:00,8,008_9.0
"-9,5",25,"26,06","17,44","0,877030162",2026-05-05 12:00:00,8,008_9.5
-10,27,"26,06","17,44","1,109048724",2026-05-05 12:00:00,8,008_10.0
"-10,5","28,5","26,06","17,44","1,283062645",2026-05-05 12:00:00,8,008_10.5
-11,"29,5","26,06","17,44","1,399071926",2026-05-05 12:00:00,8,008_11.0
"-11,5",30,"26,06","17,44","1,457076566",2026-05-05 12:00:00,8,008_11.5
-12,"29,5","26,06","17,44","1,399071926",2026-05-05 12:00:00,8,008_12.0
"-12,5","28,5","26,06","17,44","1,283062645",2026-05-05 12:00:00,8,008_12.5
-13,27,"26,06","17,44","1,109048724",2026-05-05 12:00:00,8,008_13.0
"-13,5","25,5","26,06","17,44","0,935034803",2026-05-05 12:00:00,8,008_13.5
-14,24,"26,06","17,44","0,761020882",2026-05-05 12:00:00,8,008_14.0
"-14,5",22,"26,06","17,44","0,52900232",2026-05-05 12:00:00,8,008_14.5
-15,"20,5","26,06","17,44","0,354988399",2026-05-05 12:00:00,8,008_15.0
"-15,5","19,5","26,06","17,44","0,238979118",2026-05-05 12:00:00,8,008_15.5
-16,"18,5","26,06","17,44","0,122969838",2026-05-05 12:00:00,8,008_16.0
"-16,5",18,"26,06","17,44","0,064965197",2026-05-05 12:00:00,8,008_16.5
-17,"17,8","26,06","17,44","0,041763341",2026-05-05 12:00:00,8,008_17.0
"-17,5","17,5","26,06","17,44","0,006960557",2026-05-05 12:00:00,8,008_17.5
-18,"17,3","26,06","17,44","-0,016241299",2026-05-05 12:00:00,8,008_18.0
"-18,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_18.5
-19,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_19.0
"-19,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_19.5
-20,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_20.0
"-20,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_20.5
-21,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_21.0
"-21,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_21.5
-22,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_22.0
"-22,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_22.5
-23,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_23.0
"-23,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_23.5
-24,"17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_24.0
"-24,5","17,2","26,06","17,44","-0,027842227",2026-05-05 12:00:00,8,008_24.5
-25,19,"26,06","17,44","0,180974478",2026-05-05 12:00:00,8,008_25.0
