depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,14,"22,93","15,47","-0,197050938",2026-05-05 12:00:00,7,007_0.0
"-0,5","14,2","22,93","15,47","-0,170241287",2026-05-05 12:00:00,7,007_0.5
-1,"14,8","22,93","15,47","-0,089812332",2026-05-05 12:00:00,7,007_1.0
"-1,5",18,"22,93","15,47","0,339142091",2026-05-05 12:00:00,7,007_1.5
-2,23,"22,93","15,47","1,009383378",2026-05-05 12:00:00,7,007_2.0
"-2,5",24,"22,93","15,47","1,143431635",2026-05-05 12:00:00,7,007_2.5
-3,"24,5","22,93","15,47","1,210455764",2026-05-05 12:00:00,7,007_3.0
"-3,5",25,"22,93","15,47","1,277479893",2026-05-05 12:00:00,7,007_3.5
-4,"25,2","22,93","15,47","1,304289544",2026-05-05 12:00:00,7,007_4.0
"-4,5",25,"22,93","15,47","1,277479893",2026-05-05 12:00:00,7,007_4.5
-5,"24,5","22,93","15,47","1,210455764",2026-05-05 12:00:00,7,007_5.0
"-5,5",24,"22,93","15,47","1,143431635",2026-05-05 12:00:00,7,007_5.5
-6,"23,5","22,93","15,47","1,076407507",2026-05-05 12:00:00,7,007_6.0
"-6,5","22,5","22,93","15,47","0,942359249",2026-05-05 12:00:00,7,007_6.5
-7,22,"22,93","15,47","0,875335121",2026-05-05 12:00:00,7,007_7.0
"-7,5",21,"22,93","15,47","0,741286863",2026-05-05 12:00:00,7,007_7.5
-8,22,"22,93","15,47","0,875335121",2026-05-05 12:00:00,7,007_8.0
"-8,5","23,5","22,93","15,47","1,076407507",2026-05-05 12:00:00,7,007_8.5
-9,25,"22,93","15,47","1,277479893",2026-05-05 12:00:00,7,007_9.0
"-9,5",26,"22,93","15,47","1,41152815",2026-05-05 12:00:00,7,007_9.5
-10,"26,5","22,93","15,47","1,478552279",2026-05-05 12:00:00,7,007_10.0
"-10,5",26,"22,93","15,47","1,41152815",2026-05-05 12:00:00,7,007_10.5
-11,"25,5","22,93","15,47","1,344504021",2026-05-05 12:00:00,7,007_11.0
"-11,5",25,"22,93","15,47","1,277479893",2026-05-05 12:00:00,7,007_11.5
-12,"24,5","22,93","15,47","1,210455764",2026-05-05 12:00:00,7,007_12.0
"-12,5",24,"22,93","15,47","1,143431635",2026-05-05 12:00:00,7,007_12.5
-13,"23,5","22,93","15,47","1,076407507",2026-05-05 12:00:00,7,007_13.0
"-13,5",23,"22,93","15,47","1,009383378",2026-05-05 12:00:00,7,007_13.5
-14,"22,5","22,93","15,47","0,942359249",2026-05-05 12:00:00,7,007_14.0
"-14,5",22,"22,93","15,47","0,875335121",2026-05-05 12:00:00,7,007_14.5
-15,"21,5","22,93","15,47","0,808310992",2026-05-05 12:00:00,7,007_15.0
"-15,5","20,5","22,93","15,47","0,674262735",2026-05-05 12:00:00,7,007_15.5
-16,"19,5","22,93","15,47","0,540214477",2026-05-05 12:00:00,7,007_16.0
"-16,5","18,5","22,93","15,47","0,40616622",2026-05-05 12:00:00,7,007_16.5
-17,"17,5","22,93","15,47","0,272117962",2026-05-05 12:00:00,7,007_17.0
"-17,5","16,5","22,93","15,47","0,138069705",2026-05-05 12:00:00,7,007_17.5
-18,"15,5","22,93","15,47","0,004021448",2026-05-05 12:00:00,7,007_18.0
"-18,5","14,5","22,93","15,47","-0,13002681",2026-05-05 12:00:00,7,007_18.5
-19,14,"22,93","15,47","-0,197050938",2026-05-05 12:00:00,7,007_19.0
"-19,5","13,5","22,93","15,47","-0,264075067",2026-05-05 12:00:00,7,007_19.5
-20,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_20.0
"-20,5",13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_20.5
-21,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_21.0
"-21,5",13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_21.5
-22,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_22.0
"-22,5",13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_22.5
-23,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_23.0
"-23,5",13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_23.5
-24,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_24.0
"-24,5",13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_24.5
-25,13,"22,93","15,47","-0,331099196",2026-05-05 12:00:00,7,007_25.0
