depth_m,w_percent,wl_value,wp_value,il_value,timestamp,object_id,sensor_id
0,25,"26,07","17,61","0,873522459",2026-05-05 12:00:00,49,049_0.0
"-0,5",26,"26,07","17,61","0,991725768",2026-05-05 12:00:00,49,049_0.5
-1,28,"26,07","17,61","1,228132388",2026-05-05 12:00:00,49,049_1.0
"-1,5","31,2","26,07","17,61","1,606382979",2026-05-05 12:00:00,49,049_1.5
-2,"32,8","26,07","17,61","1,795508274",2026-05-05 12:00:00,49,049_2.0
"-2,5",33,"26,07","17,61","1,819148936",2026-05-05 12:00:00,49,049_2.5
-3,34,"26,07","17,61","1,937352246",2026-05-05 12:00:00,49,049_3.0
"-3,5","33,7","26,07","17,61","1,901891253",2026-05-05 12:00:00,49,049_3.5
-4,"33,3","26,07","17,61","1,854609929",2026-05-05 12:00:00,49,049_4.0
"-4,5","32,7","26,07","17,61","1,783687943",2026-05-05 12:00:00,49,049_4.5
-5,"31,8","26,07","17,61","1,677304965",2026-05-05 12:00:00,49,049_5.0
"-5,5","30,8","26,07","17,61","1,559101655",2026-05-05 12:00:00,49,049_5.5
-6,"29,8","26,07","17,61","1,440898345",2026-05-05 12:00:00,49,049_6.0
"-6,5","28,9","26,07","17,61","1,334515366",2026-05-05 12:00:00,49,049_6.5
-7,"28,2","26,07","17,61","1,25177305",2026-05-05 12:00:00,49,049_7.0
"-7,5","28,5","26,07","17,61","1,287234043",2026-05-05 12:00:00,49,049_7.5
-8,29,"26,07","17,61","1,346335697",2026-05-05 12:00:00,49,049_8.0
"-8,5",30,"26,07","17,61","1,464539007",2026-05-05 12:00:00,49,049_8.5
-9,31,"26,07","17,61","1,582742317",2026-05-05 12:00:00,49,049_9.0
"-9,5",32,"26,07","17,61","1,700945626",2026-05-05 12:00:00,49,049_9.5
-10,33,"26,07","17,61","1,819148936",2026-05-05 12:00:00,49,049_10.0
"-10,5","33,5","26,07","17,61","1,878250591",2026-05-05 12:00:00,49,049_10.5
-11,34,"26,07","17,61","1,937352246",2026-05-05 12:00:00,49,049_11.0
"-11,5",34,"26,07","17,61","1,937352246",2026-05-05 12:00:00,49,049_11.5
-12,34,"26,07","17,61","1,937352246",2026-05-05 12:00:00,49,049_12.0
"-12,5","33,8","26,07","17,61","1,913711584",2026-05-05 12:00:00,49,049_12.5
-13,"33,5","26,07","17,61","1,878250591",2026-05-05 12:00:00,49,049_13.0
"-13,5",33,"26,07","17,61","1,819148936",2026-05-05 12:00:00,49,049_13.5
-14,"32,5","26,07","17,61","1,760047281",2026-05-05 12:00:00,49,049_14.0
"-14,5",32,"26,07","17,61","1,700945626",2026-05-05 12:00:00,49,049_14.5
-15,"31,5","26,07","17,61","1,641843972",2026-05-05 12:00:00,49,049_15.0
"-15,5",31,"26,07","17,61","1,582742317",2026-05-05 12:00:00,49,049_15.5
-16,30,"26,07","17,61","1,464539007",2026-05-05 12:00:00,49,049_16.0
"-16,5",29,"26,07","17,61","1,346335697",2026-05-05 12:00:00,49,049_16.5
-17,28,"26,07","17,61","1,228132388",2026-05-05 12:00:00,49,049_17.0
"-17,5",27,"26,07","17,61","1,109929078",2026-05-05 12:00:00,49,049_17.5
-18,"26,5","26,07","17,61","1,050827423",2026-05-05 12:00:00,49,049_18.0
"-18,5",26,"26,07","17,61","0,991725768",2026-05-05 12:00:00,49,049_18.5
-19,25,"26,07","17,61","0,873522459",2026-05-05 12:00:00,49,049_19.0
"-19,5",24,"26,07","17,61","0,755319149",2026-05-05 12:00:00,49,049_19.5
-20,23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,49,049_20.0
"-20,5","22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,49,049_20.5
-21,"22,6","26,07","17,61","0,589834515",2026-05-05 12:00:00,49,049_21.0
"-21,5","22,5","26,07","17,61","0,578014184",2026-05-05 12:00:00,49,049_21.5
-22,"22,6","26,07","17,61","0,589834515",2026-05-05 12:00:00,49,049_22.0
"-22,5","22,7","26,07","17,61","0,601654846",2026-05-05 12:00:00,49,049_22.5
-23,"22,8","26,07","17,61","0,613475177",2026-05-05 12:00:00,49,049_23.0
"-23,5","22,9","26,07","17,61","0,625295508",2026-05-05 12:00:00,49,049_23.5
-24,23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,49,049_24.0
"-24,5",23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,49,049_24.5
-25,23,"26,07","17,61","0,637115839",2026-05-05 12:00:00,49,049_25.0
